review_id,review_year,review_date,date_display,rating,review_text,attribution,source_label,featured
2024-002,2024,2024-01-12,"January 12, 2024",5,Great course! Easy to follow along. Liked the breakout rooms! Passed on the first try. Not sure why I waited so long to do this.,Angi G.,Online review,yes
2023-006,2023,2023-01-24,"January 24, 2023",5,I loved how Marcelo introduced a concept & then gave us time for hands on application. I love teachers who incorporate visual aides.,,Direct feedback,yes
2023-005,2023,2023-05-09,"May 9, 2023",5,Marcelo is a great instructor who explains concepts well and provides examples in order to help provide context. He is also very personable and makes the learning experience very positive. One can feel very confident in the material after taking his class.,,Direct feedback,yes
2023-004,2023,2023-09-27,"September 27, 2023",5,Marcelo is an excellent teacher and I highly recommend him! His teaching style is interactive and incorporates practical application.,,Direct feedback,yes
2023-003,2023,2023-03-23,"March 23, 2023",5,"I attended the 2-day weekend course with Dan and it was absolutely wonderful. The Sessions are very engaging and informative with the real life examples shared by Dan. The Study Materials and mock tests prepared by Dan and team are excellent to prep for the certification exam. I would highly recommend this course for anyone preparing for the CSM certification. Thank you Dan for helping me learn Scrum and Agile, and become a CSM!",Ramisha R.,Online review,no
2023-002,2023,2023-05-19,"May 19, 2023",5,"Dan is a warm, down to earth instructor who uses lots of real world examples to make concepts relatable and easy to understand. The materials included are valuable and I personally found the CSM prep course and practice exams especially useful. Happy to report that I am officially a CSM now. :D",Lisa F.,Online review,yes
2023-001,2023,2023-05-26,"May 26, 2023",5,"I attended the 2-day Certified ScrumMaster Training course with Dan. It was a great class. The Sessions are very engaging, informative, and easy to follow. Dan provided real-life examples which made the class clear to understand the various ""Agile"" concepts and definitions. The Study Materials were a great resource to use when preparing for the certification exam. I would most likely recommend this course to others with a high score of 5. Thank you, Dan, I look forward to attending additional certification training and PDU classes!",Nina P.,Online review,no
2022-011,2022,2022-09-20,"September 20, 2022",5,Training was very helpful and well delivered. I loved the interactive experience and the resources offered were great.,,Direct feedback,yes
2022-010,2022,2022-11-15,"November 15, 2022",5,"Marcelo delivered the material in a way that was easy to digest, deeply relatable, and grounded in real-world scenarios. The flow of the class was seamless .  every concept was introduced with clarity, reinforced through discussion, and tied back to the structure outlined in the Scrum Guide. If you’re looking for a certification that’s not just about theory, but about implementing structure and delivering results, this is it. Marcelo taught the class in the exact format you’d want to emulate once you’re certified .  focused, intentional, and outcome-driven. Grateful for the experience and excited to apply what I’ve learned. Big thanks to Marcelo and the 3Back team for setting the bar high.",,Direct feedback,yes
2022-009,2022,2022-02-22,"February 22, 2022",5,"I researched several different CSM programs before deciding to register for the one taught by 3Back's Dan Rawsthorne. I selected this one due to the instructor's impressive credentials. The course was extremely valuable not only to prepare for the test, but also to give advanced insight into practical applications. The company is extremely generous with the materials they share and encourage students to participate in enlightening discussions. I will definitely continue using this company for future certification preparation courses.",Consumer,Online review,no
2022-008,2022,2022-02-24,"February 24, 2022",5,I took the CSM class with Dan in 2022. He was a charismatic and effective educator and I had some great discussions with my small groups. I would absolutely recommended 3Back to anyone interested in gaining Scrum Certifications.,Martin R.,Online review,no
2022-007,2022,2022-03-17,"March 17, 2022",5,Just completed my 2 day A-CSM training with Doug. Great group of attendees and awesome training from Doug. Clear and straight-forward training in applying Agile/Scrum.,Shari W.,Online review,yes
2022-006,2022,2022-03-28,"March 28, 2022",5,Dan is a pro CSM instructor! He understands Scrum at a deep level and still manages to be applicable. Highly recommended.,Andy W.,Online review,no
2022-005,2022,2022-04-04,"April 4, 2022",5,Awesome course & materials that prepared me to pass and acquire the CSM certification.,L. Ollie,Online review,no
2022-004,2022,2022-05-01,"May 1, 2022",5,"Dan was my Scrum Cert instructor last month. I had not been previously exposed to Scrum or Agile. He made the class relatable, and effortlessly easy to understand the material. Highly recommend!",Nastassia B.,Online review,no
2022-003,2022,2022-05-17,"May 17, 2022",5,"I've taken courses through 3Back in the past and returned to take additional courses because I loved the instructors, content and convenience. With the pandemic, it has become critical to be able to take courses remotely. The remote Zoom-led courses were still very interactive, and the instructors ran the course very well. I highly recommend 3Back to anyone.",Christopher L.,Online review,no
2022-002,2022,2022-05-28,"May 28, 2022",5,Great class. Doug kept us all engaged even though it was all online. Lots of great information to take back and use with my current role. I will definitely use 3Back for my next certification.,Liza G.,Online review,yes
2022-001,2022,2022-07-10,"July 10, 2022",5,This was my first time taking a class with 3Back and I learned so much in two days. Dan was a stellar instructor and I felt engaged the whole time. I am so thankful it wasn't just hours upon hours of sitting and listening to someone speak AT me. The way the course was designed enabled me to fully engage with the material.,El,Online review,yes
2021-008,2021,2021-04-30,"April 30, 2021",5,"Dan knows what he's talking about! I came into this class thinking I was ahead of the game, and he proved me wrong! I learned so much and there's no doubt it will have a positive impact on our business. Can't recommend 3Back enough. Great value, and great content!",Jonathan E.,Online review,yes
2021-007,2021,2021-06-21,"June 21, 2021",5,Dan is an excellent instructor with a great ability to relate the material to real work experiences. I would highly recommend this class from Dan. Passed the test straight away after finishing the class. Thanks!,Will N.,Online review,no
2021-006,2021,2021-09-27,"September 27, 2021",5,Doug Shimp was an excellent facilitator empowering us to take charge of our break out teams. Giving us the opportunity to have hands on while learning and expanding our knowledge base.,Abel M.,Online review,yes
2021-005,2021,2021-10-11,"October 11, 2021",5,I took the virtual CSM Course and was very impressed! The course was engaging and I learned a lot. You get a TON of useful content to use during the course and beyond. I was able to easily pass my CSM test after taking this course. Highly recommend. Dan Rawsthorne was our instructor and had an endless amount of knowledge/experience to share He was able to use easy examples to help explain concepts so the whole class could follow along despite different professional backgrounds.,Andrea F.,Online review,no
2021-004,2021,2021-11-11,"November 11, 2021",5,I learned a great deal from Doug and the structure he established was beneficial in my learning of the Product Owner role.,Scott K.,Online review,yes
2021-003,2021,2021-11-19,"November 19, 2021",5,Dan's Course was very informative and gave me all the tools I needed to properly pass this course. Be prepared for an intensive two days of content and reading. It was all worth it in the end. I passed the exam the following day after taking his course.,Dominic B.,Online review,no
2021-002,2021,2021-12-13,"December 13, 2021",5,"Money well spent! Dan is a great facilitator/instructor. I especially appreciated how he uses real world examples to illustrate the points in the class, it made it really easy to grasp the concepts.",Christel E.,Online review,no
2021-001,2021,2021-12-14,"December 14, 2021",5,With covid making so many options for in person learning a challenge. Many businesses are struggling with keeping up. I did my Certified Scrum Master remote training course with Dan R and it was very pleased with the results and learning experience. We were provided with a lot of course materials and were guided through the process of understanding what scrum is and how to deal with challenges. The breakout rooms and ability to work with other people also helped break up the length of the sessions.,Naldo F.,Online review,no
2020-051,2020,2020-02-13,"February 13, 2020",5,I had really good discussions. Better experience with my peers.,Greg,Direct feedback,no
2020-050,2020,2020-02-13,"February 13, 2020",4,Well time-boxed.,,Direct feedback,no
2020-049,2020,2020-02-13,"February 13, 2020",5,Great class,Wilfred,Direct feedback,no
2020-048,2020,2020-02-13,"February 13, 2020",5,"Dan is good presenter, engaging. Material is excellent.",Jadu,Direct feedback,no
2020-047,2020,2020-02-13,"February 13, 2020",5,"Was a very insightful class, very interactive as well. The instructor was quite knowledgeable and he answered all questions asked to my satisfaction.",Engyia,Direct feedback,no
2020-046,2020,2020-02-13,"February 13, 2020",5,Very good written material. Very good discussion opportunity / exercise.,Ken,Direct feedback,no
2020-045,2020,2020-02-13,"February 13, 2020",5,Really liked the coverage and team level exercises based on experience. Good learning based on experience shared by team members.,Kaushik,Direct feedback,no
2020-044,2020,2020-02-13,"February 13, 2020",5,Immense knowledge of instructor is invaluable. This is the stuff you cannot read in books. Thanks so much for so many great ideas.,,Direct feedback,no
2020-043,2020,2020-02-13,"February 13, 2020",5,Table discussions were enormously helpful and will be of great use when I return.,Mike,Direct feedback,no
2020-042,2020,2020-02-13,"February 13, 2020",5,"This class was very informative, thanks Dan for the lessons. Dan's experience sharing was a vital thing in the learning. I'm very happy that I was able to take the class.",Vijaya,Direct feedback,no
2020-041,2020,2020-04-19,"April 19, 2020",5,"Loved the virtual experience. Great material, great coverage",Debra K.,Direct feedback,no
2020-040,2020,2020-04-19,"April 19, 2020",5,I loved this class and I have learned a lot! Especially about the updates to Scrum and redefining now outdated definitions!,Ogechi O.,Direct feedback,no
2020-039,2020,2020-04-19,"April 19, 2020",4,"Great info and real life stories, felt other peoples discussion questions led us down rabbit trails not applicable to getting certified",Dustin B.,Direct feedback,no
2020-038,2020,2020-09-14,"September 14, 2020",4,Engaging instructor with memorable stories and a dry sense of humor. Precise and clear messages of what's important in scrum,Nga Yan C.,Direct feedback,no
2020-037,2020,2020-09-14,"September 14, 2020",5,"Great Course, Great approach centered on group discussion",James W.,Direct feedback,no
2020-036,2020,2020-09-14,"September 14, 2020",5,Fan was wonderful with his antidotes and real world examples. It made this weekend class fun,Cheryl W.,Direct feedback,no
2020-035,2020,2020-09-13,"September 13, 2020",5,"Even with the meeting online via Zoom, there was a great mix of group discussion, small group interaction, and the class was very engaging. The time passes very quickly and I would recommend anyone take this class.",,Direct feedback,no
2020-034,2020,2020-08-12,"August 12, 2020",5,"Responsive, Engaging, clear with concepts and keeping command of the time. Excellent engagement",Mary O.,Direct feedback,no
2020-033,2020,2020-08-08,"August 8, 2020",5,"Incredibly informative, no stone left unturned. Great and productive sessions throughout the course.",Andrew B.,Direct feedback,no
2020-032,2020,2020-01-07,"January 7, 2020",5,"The instructor understood the difference between getting certified and being skillful. The approach to the class was geared to make you think about why and how to approach things, kept the entire class engaged, and did a great job keeping the environment fun and funny. Great experience. Thanks, Doug.",Randy S.,Online review,yes
2020-031,2020,2020-04-15,"April 15, 2020",5,"The certified scrum product owner was perfect. You will learn all you need to know about agile more importantly you will know how to think agile, apply agile and be agile. i already booked my second training",Joelle B.,Online review,no
2020-030,2020,2020-04-20,"April 20, 2020",5,Great experience with Dan as my instructor. Learned more than I could have imagined in a two day time and was introduced to a new way of thinking. Highly recommend 3Back for anyone considering taking a course!,Eric S.,Online review,no
2020-029,2020,2020-04-21,"April 21, 2020",5,"Dan was my Scrum Cert instructor last week. I had not been previously exposed to Scrum or Agile. My career has focused on PMI methodology and I sensed a symmetry between the 2 disciplines. The Guidebook was easy to comprehend and showed me real added value. As a Scrum novice, I highly recommend it and it is now part of my arsenal.",Paul C.,Online review,no
2020-028,2020,2020-04-22,"April 22, 2020",5,Awesome Course!! Instructor Doug Shimp was very knowledgeable and interactive!,Betti A.,Online review,no
2020-027,2020,2020-04-30,"April 30, 2020",5,I took my class over the weekend because I couldn't get off from work. Doug from 3 back made the class interesting and engaging even though I was obviously tired from the previous work we can knowing that i had to go into another one without a break. Doug made sure that I knew every concept in inside and out with the workbook and with the other materials provided I was able to pass my scrum master certification without a problem the first try. now I can take my career to a whole new level given that they were flexible enough to teach a class when I was able to take it. anyone wanting to take a class and scrum mastery or product ownership should consider 3 back as their source for this information because they teach it in a way that you will remember for years to come.,Haley B.,Online review,no
2020-026,2020,2020-05-04,"May 4, 2020",5,"I attended the 2-day weekend course with Doug and it was absolutely wonderful. Doug is a great instructor and keeps the class engaged and explains the concepts with real world examples so that at the end of each day you are able to takeaway key concepts. The sessions were well paced and the content covered was very good as well. Study Guide and mock tests prepared by Doug and team are excellent to prep for the certification exam. Thank you again Doug for helping me learn Scrum and Agile, and become a CSM!",Ranjita R.,Online review,no
2020-025,2020,2020-05-12,"May 12, 2020",5,Dan was instructor. Class was interactive and very understanding.,Amita B.,Online review,no
2020-024,2020,2020-05-12,"May 12, 2020",5,"I thoroughly enjoyed the CSPO course led my Dan Rawsthorne on 9&10 May 2020. If you haven't attended one yet, try it because it is worth the time spent.",Randy W.,Online review,no
2020-023,2020,2020-05-12,"May 12, 2020",5,"Dan Rawsthorne is an amazing instructor in which he provided very thorough examples based on his military and corporate experiences. Took the CSM class online during the pandemic and I would highly recommend him to any aspiring young professionals like me. Truly learned a lot from a Scrummish individual and I can't wait to put it to practice now! Also, took the test on my first attempt and passed with flying colors.",Grace S.,Online review,no
2020-022,2020,2020-05-13,"May 13, 2020",5,"Excellent class, Doug was a great instructor. I was recommended this course from 3 back to any of my colleagues wishing to get their Certified Scrum Master (CSM).",Eric R.,Online review,no
2020-021,2020,2020-05-19,"May 19, 2020",5,"I took the training class with Dan Rawsthorne on May 16-17. It was truly an exciting experience. Seeing how they were able to easily adapt to the online experience due to COVID-19 was one of the reasons I chose this class through Scrum Alliance. I was constantly looking for classes that fit my timeframe and would be something easy to do from home. After looking through the available courses, I found Dan's and found myself coming back to the same one each time I searched. Dan was able to make it fun, provide real-world experience to each lesson, and allowed free conversation and questions to ensure that everyone was able to ask and understand the content. I would gladly take another 3Back course and in the future will look for classes provided by them. Thanks for the great content and great lesson, Dan!",Angela N.,Online review,no
2020-020,2020,2020-05-24,"May 24, 2020",5,"Dan Rawsthorne is an excellent instructor. He is very good at explaining what scrum is and how this framework benefits the work environment. I learned so much and I am excited to apply my knowledge in the computing field. I did very well on the Scrum Master exam and it was my first attempt, thanks to Dan's superb teaching.",Irene W.,Online review,no
2020-019,2020,2020-05-25,"May 25, 2020",5,"When I was looking for CSM training, I got the strongest possible word-of-mouth endorsement of Dan from two very credible, seasoned PM/CSM colleagues. After taking his class, I now see why. Dan provided real-world, usable, translation of theory into practice. His guide and lecture materials were first-rate, and made the test very manageable. The class time was high-value-added, engaging, and informative. I feel like I truly learned, far more than just checking a block. I HIGHLY recommend this course with Dan!",Jongmin Y.,Online review,yes
2020-018,2020,2020-05-29,"May 29, 2020",5,"I attended the 2-day weekday (May 27th and 28th 2020) course with Doug Shimp and it was absolutely AMAZING!!!. Doug is a great instructor and keeps the class engaged and explains the concepts with his personal experiences and examples, so that at the end of each day you are able to takeaway key concepts. The sessions were very well paced and the content covered was excellent.The Study Guide and mock tests prepared me for the certification exam (Passed with 96% right answers , i.e., only two wrong answers today (May 29th). Thank you again Doug for helping me learn Scrum, and become a Certified Scrum Master (CSM)! You were the Best instructor lead Class I have had in a long time. Thank you for helping me explore a new career path by being a CSM, in this ever changing Technology World! I am forever debited to you!",Manjeet A.,Online review,no
2020-017,2020,2020-06-06,"June 6, 2020",5,"I took the 2-day CSPO course in person from Dan Rawsthorne in 2016 in Miami. When it came time for me to continue my Agile journey I went with his proven expertise and took the 2-day CSM course online. He's been part of the Agile community since the beginning and his historical perspective on the evolution and adoption of Agile practices is invaluable. You get out of the class what you put into it, but with a bit of effort your success on the certification exams is assured.",Mark K.,Online review,no
2020-016,2020,2020-06-08,"June 8, 2020",5,I took the CSM class with Dan and felt well-prepared and confident to take the test!,Joe M.,Online review,no
2020-015,2020,2020-06-14,"June 14, 2020",5,"After getting a great review from my cousin, I recently had the opportunity to take the CSM Certification training course with Doug Shimp, and it was a fantastic! With not much prior exposure to scrum, I still passed the CSM exam on the first try all thanks to the hands-on training I received from Doug in such a short period of time. Doug managed to provide a clear understanding of the concept by giving very relatable and real-world examples. Doug is a natural and keeps the class engaged and interesting. Thank you, 3Back and Doug Shimp for the wonderful experience!",Vidhi P.,Online review,no
2020-014,2020,2020-06-24,"June 24, 2020",5,"Do much better with in person classes, but unfortunately had to take this class on Zoom. Was a much better experience than i thought. The break outs where great and very helpful to learn and build connections. Thank you Doug!",Eric B.,Online review,yes
2020-013,2020,2020-06-29,"June 29, 2020",5,"I've taken the CSM, A-CMS, CSPO & LRST classes from 3Back!. Best money I've spent in 2020. Class content is relevant to industry needs and experiences. Strongest recommendation to 3Back classes and read their content!",Johnny B.,Online review,no
2020-012,2020,2020-07-08,"July 8, 2020",5,Dan was an engaging teacher who led us through the concepts while entertaining us with stories from his very extensive background. I passed the exam the 1st time with a 96! I highly recommend.,April L.,Online review,no
2020-011,2020,2020-07-19,"July 19, 2020",5,I was a student in Dan's class a couple of weeks ago. He was very knowledgeable and shared several real life situations. The information discussed in class helped me pass the CSM exam.,Argent S.,Online review,no
2020-010,2020,2020-07-22,"July 22, 2020",5,"I just completed the Certified Scrum Master Training Course with 3Back. Great Online Course! Not only learned about SCRUM practices, but also engaged in useful online learning--My trainer, Doug is so knowledgeable about SCRUM and had great stories and examples, small and medium group activities, and facilitated great discussion and camaraderie within the group. I am glad I took this course -- it refreshed and expanded my understanding of SCRUM, expanded my network, and has motivated me to try and implement these practices with my own team to improve how we work together.",Jennifer W.,Online review,yes
2020-009,2020,2020-07-31,"July 31, 2020",5,"As a 10-year Agile Software Engineer 2-year Scrum Master, I found that I wanted to not only be certified in Scrum Mastery, I wanted to get a great learning experience with refreshing and elevating my Agile knowledge. My instructor was Dan Rawsthorne. He was superb in his course delivery and made us all feel valued. We had a big mix of experienced vs. inexperienced Agilists in our class: Dan handled this mix like a pro ( a very good skill to have as an instructor). Dan and 3Back gave us the knowledge, resources, and guides we needed to learn Scrum Mastery AND pass our CSM exams. Good job, Dan!",Jim P.,Online review,no
2020-008,2020,2020-09-02,"September 2, 2020",5,"I just finished my CSM class with 3Back and had a great time. Discussion was good and the instructor (Doug) was not only really knowledgeable but passionate as well, which I think is important. I'd recommend them to any scrum master looking to get certified or for someone who wants to learn more about the framework.",Mason M.,Online review,no
2020-007,2020,2020-09-16,"September 16, 2020",5,Great class! Doug Shimp's experience and knowledge really comes through. Highly recommended!!!,George A.,Online review,no
2020-006,2020,2020-10-21,"October 21, 2020",5,"I just finished my training course with 3Back over the weekend and passed my CSM exam a few days later. The class was very productive, interactive and instructor was very engaging. I'd highly recommend taking CSM class with 3Back to anyone interested in getting their certification.",Ahmad A.,Online review,no
2020-005,2020,2020-10-27,"October 27, 2020",5,Excellent class for CSM as well as instructor!,Becki K.,Online review,no
2020-004,2020,2020-11-02,"November 2, 2020",5,"I recently took the scrum master class and it was awesome! Passed the test in the first attempt! Doug did a very good job at explaining the concepts in simple terms. Highly recommend this class. I'm so happy with the results and scheduled to take another class. This time, it's for the certified product owner.",samantha h.,Online review,no
2020-003,2020,2020-11-06,"November 6, 2020",5,"I was presented with the task to take on the scrum master role in my org. At first i was concerned since i am more on IT than development. Dan Rawsthrones course was to the point and exactly what i needed to understand what scrum. After the two day course, and some reading, one day later i took the exam and passed it on my first attempt. I'd highly recommend 3Back for training.",marco s.,Online review,no
2020-002,2020,2020-11-21,"November 21, 2020",5,"Took a two day CSM course via zoom. Dan the instructor was engaging, informative, and provided relatable examples and stories across multiple industries to really drive concepts home. Would definitely recommend.",Kaitie H.,Online review,yes
2020-001,2020,2020-12-23,"December 23, 2020",5,"I recently took the 2 day scrum master class and passed the CSM test in first attempt today. Dan is v knowledgeable and I learned a ton about scrum, scrum roles and agility in general with great examples. I will recommend this course to anyone new to scrum as well as to experienced folks who want to get certified.",Uzma,Online review,no
2019-026,2019,2019-12-06,"December 6, 2019",5,Gained a thorough understanding of Scrum. The class was very interactive and impactful. The instructor was very knowledgeable.,,Direct feedback,no
2019-025,2019,2019-12-06,"December 6, 2019",5,I loved this class. Not only did I learn a lot about the concepts and real world / simulated examples of Scrum but I learned as much about myself too. How I can improve as a professional even though I got really frustrated toward the end of day 1.,,Direct feedback,no
2019-024,2019,2019-12-06,"December 6, 2019",5,Feel prepared to take the exam now. Sample test material is so helpful.,,Direct feedback,no
2019-023,2019,2019-12-06,"December 6, 2019",5,"Solid mix of theory and practice. Allowed for equal parts experience and reflection, latter of which is critical for me as I think through adapting these concepts.",,Direct feedback,no
2019-022,2019,2019-12-06,"December 6, 2019",5,Topics well covered. Can now not only talk test but APPLY these concepts at work. Doug was humorous and able to drive points home. Loved it!,,Direct feedback,no
2019-021,2019,2019-12-06,"December 6, 2019",5,Doug is excellent at keeping the class engaged. Good ratio of interactivity and necessary knowledge acquisition.,Derek,Direct feedback,no
2019-020,2019,2019-12-06,"December 6, 2019",5,I like that this class was about mindset and more about jobs and teamwork. The exercise was great. Content and feel were great.,Dan,Direct feedback,no
2019-019,2019,2019-12-06,"December 6, 2019",5,A good mix of high level and introductory material.,,Direct feedback,no
2019-018,2019,2019-09-13,"September 13, 2019",5,"Doug is an instructor with great relevant stories. Doug blends experience, practicality, and the course material to create a class that is well worth the time.",Dawn,Direct feedback,no
2019-017,2019,2019-09-13,"September 13, 2019",5,"I came here looking for resume / recipe for good Product Owner, only to realize the thing I should avoid to be one.",Rohith,Direct feedback,no
2019-016,2019,2019-09-13,"September 13, 2019",4,Doug has a wealth of knowledge. Explained advanced Scrum ideas based on team activities and brought reality back to the team.,Andrea,Direct feedback,no
2019-015,2019,2019-09-13,"September 13, 2019",4,Enjoyed class. Doug offered great practical exercises that help students understand concepts.,,Direct feedback,no
2019-014,2019,2019-09-13,"September 13, 2019",4,Enjoyed hearing about Scrum and the roles. Our org is dysfunctional and I am looking to get some buy-in to improve.,Dave,Direct feedback,no
2019-013,2019,2019-09-13,"September 13, 2019",4,Good content and liked the class participation.,,Direct feedback,no
2019-012,2019,2019-09-13,"September 13, 2019",4,"My ability to absorb the material was limited by my lack of experience. Next step get the experience. Doug is an interesting, excellent facilitator.",Rick,Direct feedback,no
2019-011,2019,2019-09-13,"September 13, 2019",4,Easy to apply to career life experience. Appropriately engaged us and raised energy when in a lull. Covered material well and clearly explained new concepts.,Linzi,Direct feedback,no
2019-010,2019,2019-09-13,"September 13, 2019",5,Great Class! Really helped me synthesize a few key ideas that I can take back to work and use immediately.,Susan,Direct feedback,no
2019-009,2019,2019-07-12,"July 12, 2019",5,I had the pleasure of attending several trainings by 3Back. Their scrum training is top notch plus the trainers encourage interaction and love to help their students. :),Mike Z.,Online review,no
2019-008,2019,2019-07-29,"July 29, 2019",5,"I am very pleased to attend the training .The instructor was very knowledgeable, worked at a good pace, and most importantly, was very good at communicating with all the attendees and ensuring questions were answered. I would definitely recommend 3 Back to others.",Simmi M.,Online review,no
2019-007,2019,2019-09-04,"September 4, 2019",5,I was very impressed with the class and went away with valuable insight on Agile and how to use SCRUM. The instructor - Doug was very knowledgeable on the subject and has a great sense of humor.,Gabriel N.,Online review,no
2019-006,2019,2019-09-04,"September 4, 2019",5,I had very little work experience in the area of Scrum processes. Doug taught the course in such a way as to make the content understandable to a novice in the field. I am very impressed with Doug and his style and offer thanks for his help in attaining the Scrum Master certification.,Matthew M.,Online review,no
2019-005,2019,2019-09-16,"September 16, 2019",5,"I took the CSPO training class with Doug in Tampa, FL in Sept. 2019. The class was fantastic, but the real value is the way in which Doug brings the material to life through experience. The training materials serve as a great reference for learning the concepts. Doug allows for class discussion and reflection on each person's current work experience to add flavor to the experience. If you need Scrum training, go 3Back.",Chris D.,Online review,yes
2019-004,2019,2019-09-16,"September 16, 2019",5,"I was fortunate to attend a CSPO training by Doug. The session involves series of group activities and learning opportunities. We were able to discuss various hurdles faced by everyone in the class. In short class won't give you recipe to be PO, but will definitely enable you to be better one.",Rohith K.,Online review,yes
2019-003,2019,2019-09-20,"September 20, 2019",5,Training was really great. Instructor (Doug) was very knowledgeable and answered for all questions. Best part is the way instructor engaged all trainees in the session to get the real time practice of Scrum Master.,Mansi N.,Online review,no
2019-002,2019,2019-10-14,"October 14, 2019",5,"Great classes By Doug at 3back! I really enjoyed the engagement with the students and relation to the real world. Ultimately, I passed on my first attempt.",Steve,Online review,no
2019-001,2019,2019-11-19,"November 19, 2019",5,I took the CSM class and from what was taught and shared during the class was able to pass the exam easily the first time. Convenient location and price was right in the market. Thank you Doug Shimp!,Mary W.,Online review,no
2018-027,2018,2018-02-07,"February 7, 2018",4,It gave me the deep insight of Scrum methodology. I enjoyed learning it.,Syed Z.,Direct feedback,no
2018-026,2018,2018-02-07,"February 7, 2018",5,This was my first CSM 3Back class. Fantastic. It took several years to get introduced to gain value. This course was more applicable to me two years. I have actually started to find an opportunity to apply the course.,Tena G.,Direct feedback,no
2018-025,2018,2018-02-07,"February 7, 2018",5,I was appreciative of the focus on the behavioral side of Scrum rather than treating a process into my head. I truly feel like I can apply the knowledge I learned and remember at work.,Erik B.,Direct feedback,no
2018-024,2018,2018-02-07,"February 7, 2018",4,I found the course incredibly valuable particularly for the team psychology tips and focus on doing over following. Also humor and presentation style was awesome!,Anna F.,Direct feedback,no
2018-023,2018,2018-02-07,"February 7, 2018",5,The class was passionate and engaging. It focused on what was important and fundamental.,Brian W.,Direct feedback,no
2018-022,2018,2018-02-07,"February 7, 2018",4,Instructor was very knowledgeable and conveys information very effectively,,Direct feedback,no
2018-021,2018,2018-02-07,"February 7, 2018",4,"Started a bit ambiguous, but it got there. Some of that was definitely my fault. Once I got there I got a lot out of the class.",Paul L.,Direct feedback,no
2018-020,2018,2018-02-07,"February 7, 2018",5,Very thought provoking presentation of the material. Learned a lot and kept my attention.,Tom Z.,Direct feedback,no
2018-019,2018,2018-02-07,"February 7, 2018",5,"Good instructor, great activities",,Direct feedback,no
2018-018,2018,2018-02-07,"February 7, 2018",4,Thought class was very informative. I feel that there should be some foundational groundwork prior to attending. Completely new to Scrum training and felt overwhelmed and unsure.,,Direct feedback,no
2018-017,2018,2018-02-07,"February 7, 2018",4,Very well organized and facilitated. Good for having mindset and practices of SM,,Direct feedback,no
2018-016,2018,2018-02-07,"February 7, 2018",5,"Excellent content, good pacing and presentation style, approachable instructor, experienced instructor, useful exercises",,Direct feedback,no
2018-015,2018,2018-02-07,"February 7, 2018",5,"Doug was Fantastic. Clear and concise. Kept the room engaged, varied the pace, and obviously an expert!",Rich P.,Direct feedback,no
